id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
489,Swansea Airport,Swansea,United Kingdom,0
490,Bristol Airport,Bristol,United Kingdom,0
491,Liverpool John Lennon Airport,Liverpool,United Kingdom,0
492,London Luton Airport,London,United Kingdom,0
493,Plymouth City Airport,Plymouth,United Kingdom,0
494,Bournemouth Airport,Bournemouth,United Kingdom,0
495,Southampton Airport,Southampton,United Kingdom,0
496,Lasham Airport,Lasham,United Kingdom,0
497,Alderney Airport,Alderney,Guernsey,0
498,Guernsey Airport,Guernsey,Guernsey,0
499,Jersey Airport,Jersey,Jersey,0
500,Shoreham Airport,Shoreham By Sea,United Kingdom,0
501,London Biggin Hill Airport,Biggin Hill,United Kingdom,0
502,London Gatwick Airport,London,United Kingdom,0
503,London City Airport,London,United Kingdom,0
504,Farnborough Airport,Farnborough,United Kingdom,0
505,Chalgrove Airport,Chalsgrove,United Kingdom,0
506,Blackbushe Airport,Blackbushe,United Kingdom,0
507,London Heathrow Airport,London,United Kingdom,0
508,Southend Airport,Southend,United Kingdom,0
509,Lydd Airport,Lydd,United Kingdom,0
510,Kent International Airport,Manston,United Kingdom,0
511,Brough Airport,Brough,United Kingdom,0
512,Carlisle Airport,Carlisle,United Kingdom,0
513,Retford Gamston Airport,Repton,United Kingdom,0
514,Blackpool International Airport,Blackpool,United Kingdom,0
515,Humberside Airport,Humberside,United Kingdom,0
516,Barrow Walney Island Airport,Barrow Island,United Kingdom,0
517,Leeds Bradford Airport,Leeds,United Kingdom,0
518,Warton Airport,Warton,United Kingdom,0
519,Hawarden Airport,Hawarden,United Kingdom,0
520,Isle of Man Airport,Isle Of Man,Isle of Man,0
521,Newcastle Airport,Newcastle,United Kingdom,0
522,Durham Tees Valley Airport,Teesside,United Kingdom,0
523,East Midlands Airport,East Midlands,United Kingdom,0
524,Llanbedr Airport,Llanbedr,United Kingdom,0
525,RAF Ternhill,Ternhill,United Kingdom,0
526,RAF Shawbury,Shawbury,United Kingdom,0
528,RAF Woodvale,Woodvale,United Kingdom,0
529,Kirkwall Airport,Kirkwall,United Kingdom,0
530,Sumburgh Airport,Sumburgh,United Kingdom,0
531,Wick Airport,Wick,United Kingdom,0
532,Aberdeen Dyce Airport,Aberdeen,United Kingdom,0
533,Inverness Airport,Inverness,United Kingdom,0
534,Glasgow International Airport,Glasgow,United Kingdom,0
535,Edinburgh Airport,Edinburgh,United Kingdom,0
536,Islay Airport,Islay,United Kingdom,0
537,Glasgow Prestwick Airport,Prestwick,United Kingdom,0
538,Benbecula Airport,Benbecula,United Kingdom,0
539,Scatsta Airport,Scatsta,United Kingdom,0
540,Dundee Airport,Dundee,United Kingdom,0
541,Stornoway Airport,Stornoway,United Kingdom,0
542,Tiree Airport,Tiree,United Kingdom,0
543,RAF Leuchars,Leuchars,United Kingdom,0
544,RAF Lossiemouth,Lossiemouth,United Kingdom,0
545,Cambridge Airport,Cambridge,United Kingdom,0
546,Peterborough Business Airport,Peterborough,United Kingdom,0
547,Norwich International Airport,Norwich,United Kingdom,0
548,London Stansted Airport,London,United Kingdom,0
549,North Weald Airport,North Weald,United Kingdom,0
550,Sheffield City Heliport,Fowlmere,United Kingdom,0
551,Cranfield Airport,Cranfield,United Kingdom,0
552,Exeter International Airport,Exeter,United Kingdom,0
553,Bristol Filton Airport,Bristol,United Kingdom,0
554,Oxford (Kidlington) Airport,Oxford,United Kingdom,0
555,RAF Benson,Benson,United Kingdom,0
556,RAF Lakenheath,Lakenheath,United Kingdom,0
557,RAF Mildenhall,Mildenhall,United Kingdom,0
558,RAF Wattisham,Wattisham,United Kingdom,0
559,RAF Wyton,Wyton,United Kingdom,0
560,RAF Fairford,Fairford,United Kingdom,0
561,RAF Brize Norton,Brize Norton,United Kingdom,0
562,RAF Odiham,Odiham,United Kingdom,0
563,DCAE Cosford Air Base,Cosford,United Kingdom,0
564,RAF Northolt,Northolt,United Kingdom,0
565,RAF Coningsby,Coningsby,United Kingdom,0
566,RAF Dishforth,Dishforth,United Kingdom,0
567,Leeming Airport,Leeming,United Kingdom,0
568,Leeds East Airport,Church Fenton,United Kingdom,0
569,RAF Honington,Honington,United Kingdom,0
570,RAF Cottesmore,Cottesmore,United Kingdom,0
571,RAF Scampton,Scampton,United Kingdom,0
572,RAF Wittering,Wittering,United Kingdom,0
573,RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,0
574,RAF Waddington,Waddington,United Kingdom,0
575,RAF Topcliffe,Topcliffe,United Kingdom,0
576,RAF Cranwell,Cranwell,United Kingdom,0
577,RAF Barkston Heath,Barkston Heath,United Kingdom,0
578,RAF Marham,Marham,United Kingdom,0
579,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,-3
580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1
581,Budel Airfield Kempen,Weert,Netherlands,1
582,Maastricht Aachen Airport,Maastricht,Netherlands,1
583,Deelen Air Base,Deelen,Netherlands,1
584,Drachten Airport,Drachten,Netherlands,1
585,Eindhoven Airport,Eindhoven,Netherlands,1
586,Eelde Airport,Groningen,Netherlands,1
587,Gilze Rijen Air Base,Gilze-rijen,Netherlands,1
588,De Kooy Airport,De Kooy,Netherlands,1
589,Lelystad Airport,Lelystad,Netherlands,1
590,Leeuwarden Air Base,Leeuwarden,Netherlands,1
591,Rotterdam The Hague Airport,Rotterdam,Netherlands,1
592,Soesterberg Air Base,Soesterberg,Netherlands,1
593,Twente Airport,Enschede,Netherlands,1
594,Valkenburg Naval Air Base,Valkenburg,Netherlands,1
595,Woensdrecht Air Base,Woensdrecht,Netherlands,1
596,Cork Airport,Cork,Ireland,0
597,Galway Airport,Galway,Ireland,0
599,Dublin Airport,Dublin,Ireland,0
600,Ireland West Knock Airport,Connaught,Ireland,0
601,Kerry Airport,Kerry,Ireland,0
602,Casement Air Base,Casement,Ireland,0
603,Shannon Airport,Shannon,Ireland,0
604,Sligo Airport,Sligo,Ireland,0
605,Waterford Airport,Waterford,Ireland,0
607,Aarhus Airport,Aarhus,Denmark,1
608,Billund Airport,Billund,Denmark,1
609,Copenhagen Kastrup Airport,Copenhagen,Denmark,1
610,Esbjerg Airport,Esbjerg,Denmark,1
611,Grønholt Hillerød Airport,Gronholt,Denmark,1
612,Karup Airport,Karup,Denmark,1
613,Læsø Airport,Laeso,Denmark,1
614,Lolland Falster Maribo Airport,Maribo,Denmark,1
615,Odense Airport,Odense,Denmark,1
616,Kruså-Padborg Airport,Krusa-padborg,Denmark,1
617,Copenhagen Roskilde Airport,Copenhagen,Denmark,1
618,Bornholm Airport,Ronne,Denmark,1
619,Sønderborg Airport,Soenderborg,Denmark,1
621,Skrydstrup Air Base,Skrydstrup,Denmark,1
622,Skive Airport,Skive,Denmark,1
623,Thisted Airport,Thisted,Denmark,1
624,Kolding Vamdrup Airfield,Kolding,Denmark,1
625,Vagar Airport,Vagar,Faroe Islands,0
626,Vesthimmerlands Flyveplads,Vesthimmerland,Denmark,1
627,Stauning Airport,Stauning,Denmark,1
628,Aalborg Airport,Aalborg,Denmark,1
629,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,1
630,Ålesund Airport,Alesund,Norway,1
631,Andøya Airport,Andoya,Norway,1
632,Alta Airport,Alta,Norway,1
633,Bømoen Airport,Voss,Norway,1
634,Brønnøysund Airport,Bronnoysund,Norway,1
635,Bodø Airport,Bodo,Norway,1
636,Bergen Airport Flesland,Bergen,Norway,1
637,Båtsfjord Airport,Batsfjord,Norway,1
638,Kristiansand Airport,Kristiansand,Norway,1
639,Geilo Airport Dagali,Geilo,Norway,1
